,Title,Published_at,Date,Time,views,Likes,Comment,Month,Youtuber_Name
80,Data Science Jobs And Salary Are Booming!! Watch This Video To Know How?,2022-09-14T11:57:22Z,9/14/2022,11:57:22Z,26013,1006,110,Sep,KrishNaik
81,How 5  Years Career Gap Student Made A Transition to Data Science- Ft: @iNeuroniNtelligence,2022-09-12T14:15:58Z,9/12/2022,14:15:58Z,24343,819,144,Sep,KrishNaik
82,Live Q&A- Ask Anything Related Data Science,2022-09-11T16:03:18Z,9/11/2022,16:03:18Z,10209,381,23,Sep,KrishNaik
83,Last Day To Avail 30% off On All Courses @iNeuroniNtelligence,2022-09-11T06:18:47Z,9/11/2022,06:18:47Z,4114,75,42,Sep,KrishNaik
84,Why Statistics Is Super Important For Data Science? Must Watch,2022-09-08T11:43:25Z,9/8/2022,11:43:25Z,13669,430,33,Sep,KrishNaik
85,Solving FAANG DSA Interview Questions With Its Implementation,2022-09-08T06:45:47Z,9/8/2022,06:45:47Z,7435,162,10,Sep,KrishNaik
86,End To End Data Science Industry Ready Projects Course Announcement- Be Industry Ready⭐⭐⭐⭐,2022-09-07T11:40:25Z,9/7/2022,11:40:25Z,15826,377,117,Sep,KrishNaik
87,Neuro Labs Demo-Dont Worry About High Configuration Laptops @iNeuroniNtelligence​,2022-09-07T04:33:41Z,9/7/2022,04:33:41Z,8122,215,47,Sep,KrishNaik
88,Full Stack Data Science Bootcamp 2.0 With Job Guaranteed Course Announcement,2022-09-06T11:32:47Z,9/6/2022,11:32:47Z,16904,372,109,Sep,KrishNaik
89,Messages From Our Students -Teachers Day@Telusko @saurabhexponent1 @HiteshChoudharydotcom @MahatmajiTechnical,2022-09-06T07:01:48Z,9/6/2022,07:01:48Z,4475,125,9,Sep,KrishNaik
90,Neuro Lab Launch Celebration- Live 7PM,2022-09-05T14:08:56Z,9/5/2022,14:08:56Z,7978,336,49,Sep,KrishNaik
91,Announcing NeuroLab- World's First Free Community Coding Platform Ft: @iNeuroniNtelligence,2022-09-05T05:02:08Z,9/5/2022,05:02:08Z,128586,1048,115,Sep,KrishNaik
92,Complete RoadMap To Learn Computer Vision,2022-09-04T07:14:28Z,9/4/2022,07:14:28Z,16539,613,25,Sep,KrishNaik
93,Hyperparameter Tuning Using Machine Learning Pipelines,2022-09-03T11:20:06Z,9/3/2022,11:20:06Z,7822,268,17,Sep,KrishNaik
94,Solve this Data Science Interview Question From Product Based Company,2022-09-02T15:13:14Z,9/2/2022,15:13:14Z,9073,245,14,Sep,KrishNaik
95,"FAANG Interview DSA Series-Heap Sort,Binary Tree,Min Heap and Max Heap Tree AND Interview Questions",2022-09-02T11:11:47Z,9/2/2022,11:11:47Z,5304,137,13,Sep,KrishNaik
96,Implementing Machine Learninng Pipelines USsing Sklearn And Python,2022-09-01T13:52:19Z,9/1/2022,13:52:19Z,20011,840,39,Sep,KrishNaik
97,"FAANG DSA Series-Discussing Sorting Algorithms-Selection, Bubble and Insertion Sort- Ft Priya Bhatia",2022-08-31T10:38:45Z,8/31/2022,10:38:45Z,4208,109,11,Aug,KrishNaik
98,"End To End Machine Learning Project Implementation With Dockers,Github Actions And Deployment",2022-08-30T04:52:23Z,8/30/2022,04:52:23Z,137270,3624,164,Aug,KrishNaik
99,How To Prepare And Overcome Fear In Maths For Data Science- Follow This Approach,2022-08-29T05:18:14Z,8/29/2022,05:18:14Z,8458,293,19,Aug,KrishNaik
100,DSA-Discussing All Search Algorithms With Interview Based Questions- Ft: Priya Bhatia,2022-08-28T05:30:26Z,8/28/2022,05:30:26Z,14812,337,13,Aug,KrishNaik
101,Trackersheet That Can Make You From Zero To HERO In Data Science,2022-08-27T12:08:23Z,8/27/2022,12:08:23Z,18363,1044,37,Aug,KrishNaik
102,Cracking Data Science Interview Is Easy By This Approach!! Solve this Problem,2022-08-26T07:43:47Z,8/26/2022,07:43:47Z,22843,786,32,Aug,KrishNaik
103,Just Watch!!,2022-08-25T15:07:31Z,8/25/2022,15:07:31Z,8171,599,55,Aug,KrishNaik
104,Meet My Son Krishiv Naik @krishivnaikvlogs8998,2022-08-24T10:14:23Z,8/24/2022,10:14:23Z,29231,1797,272,Aug,KrishNaik
105,Biral Video- Too Much Automation #shorts,2022-08-24T05:27:12Z,8/24/2022,05:27:12Z,31526,847,18,Aug,KrishNaik
106,Quick CheatSheet To Prepare For Statistics For Data Analyst And Data Scientist,2022-08-23T09:14:36Z,8/23/2022,09:14:36Z,19012,1133,49,Aug,KrishNaik
107,How To Get 1cr Data Scientist Package?,2022-08-22T06:50:55Z,8/22/2022,06:50:55Z,22572,1195,234,Aug,KrishNaik
108,Data Science Mock Interview iNeuron FSDS Batch With Feedbacks,2022-08-21T10:50:58Z,8/21/2022,10:50:58Z,17936,467,23,Aug,KrishNaik
109,Use This Way Of Training Machine Learning Models For Efficiency,2022-08-20T13:33:59Z,8/20/2022,13:33:59Z,15368,1275,59,Aug,KrishNaik
110,3 Months Updated RoadMap To Learn Machine Learning With Videos And Materials,2022-08-19T09:18:03Z,8/19/2022,09:18:03Z,17421,739,41,Aug,KrishNaik
111,Day 11-Advance NLP Series-Bidirectional LSTM Intuition And Implementation Deep Learning|Krish Naik,2022-08-17T15:38:39Z,8/17/2022,15:38:39Z,13000,395,37,Aug,KrishNaik
112,Huge Announcement-Access 250+ Recorded And Live Tech Courses For Lifetime-Limited Offer,2022-08-17T10:54:21Z,8/17/2022,10:54:21Z,5645,162,55,Aug,KrishNaik
113,Visualizing High Dimension Data Using UMAP Is A Piece Of Cake Now,2022-08-16T16:08:51Z,8/16/2022,16:08:51Z,11083,564,24,Aug,KrishNaik
114,This Independence Day- Huge Announcement- Lifetime Offer  Tech Neuron,2022-08-15T14:57:14Z,8/15/2022,14:57:14Z,10472,294,56,Aug,KrishNaik
115,Advance NLP Series Announcement- Happy 76th Independence Day,2022-08-15T07:46:19Z,8/15/2022,07:46:19Z,6934,357,65,Aug,KrishNaik
116,DSA Series-Lets Become a Pro In Queues Data Structures,2022-08-14T11:23:25Z,8/14/2022,11:23:25Z,4047,127,7,Aug,KrishNaik
117,DSA Series-Lets Become a Pro In Stacks Data Structures,2022-08-12T06:08:31Z,8/12/2022,06:08:31Z,7737,212,29,Aug,KrishNaik
118,How I Easily Optimized My Blogging Website In Minutes With 10Web Booster,2022-08-11T16:07:54Z,8/11/2022,16:07:54Z,2514,61,4,Aug,KrishNaik
119,Automate EDA And Python Coding Using Mito Library,2022-08-11T06:45:59Z,8/11/2022,06:45:59Z,8130,323,17,Aug,KrishNaik
120,Let's Crack Any Data Structures And Algorithms Interviews- Amazing Announcement,2022-08-09T12:23:57Z,8/9/2022,12:23:57Z,11841,527,43,Aug,KrishNaik
121,Can You Solve These Data Science Usecases?,2022-08-08T13:11:06Z,8/8/2022,13:11:06Z,7256,307,49,Aug,KrishNaik
122,General Doubts And Queries Everybody Have Before Starting Data Science ML And AI,2022-08-02T12:53:24Z,8/2/2022,12:53:24Z,8338,256,52,Aug,KrishNaik
123,History Of Machine Learning- Dicussing The Entire Timeline,2022-07-31T07:41:47Z,7/31/2022,07:41:47Z,255246,581,40,Jul,KrishNaik
124,You Need Not Learn Everything In Data Science- Honest Talks,2022-07-30T11:30:30Z,7/30/2022,11:30:30Z,17036,767,47,Jul,KrishNaik
125,Getting Started With Dockers- All Basics Command Covered In 1 Video,2022-07-30T05:39:36Z,7/30/2022,05:39:36Z,6135,158,6,Jul,KrishNaik
126,Out Of Bag Evaluation(OOB) And OOB Score Or Error In Random Forest,2022-07-27T09:49:44Z,7/27/2022,09:49:44Z,6561,178,13,Jul,KrishNaik
127,Part 3-Git And Github Series- Resolving Git Branch Merge Conflicts In Simple Steps With Commands,2022-07-26T10:52:49Z,7/26/2022,10:52:49Z,5339,149,16,Jul,KrishNaik
128,How To Deploy Machine Learning Models Using Docker And Github Action In Heroku,2022-07-25T08:51:59Z,7/25/2022,08:51:59Z,19390,680,35,Jul,KrishNaik
129,"Part 2-Git And Github Series- Git Merge,Push, Checkout And Log With Commands",2022-07-24T12:52:38Z,7/24/2022,12:52:38Z,7247,179,6,Jul,KrishNaik
130,"Part 1-Git And Github Series- Introduction, Installation Of Git And Understanding Basic Commands",2022-07-23T14:00:10Z,7/23/2022,14:00:10Z,25699,505,28,Jul,KrishNaik
131,How To Apply Jobs From iNeuron Job Portal,2022-07-21T11:24:33Z,7/21/2022,11:24:33Z,6288,182,31,Jul,KrishNaik
132,Announcing iNeuron Job Portal-Now Start Applying Jobs,2022-07-19T06:44:04Z,7/19/2022,06:44:04Z,13683,510,69,Jul,KrishNaik
133,Day 10- LSTM Practical Implementation In NLP Application|Krish Naik,2022-07-18T14:54:11Z,7/18/2022,14:54:11Z,12670,446,27,Jul,KrishNaik
134,Live Q&A Ask Anything,2022-07-17T15:26:23Z,7/17/2022,15:26:23Z,5071,249,15,Jul,KrishNaik
135,Blockchain Hackathon 5.0 In Collaboration With Neo @iNeuroniNtelligence  @Telusko,2022-07-17T04:20:06Z,7/17/2022,04:20:06Z,2864,64,11,Jul,KrishNaik
136,Live Q&A Ask Anything,2022-07-11T15:00:17Z,7/11/2022,15:00:17Z,8837,354,36,Jul,KrishNaik
137,Can We Have Multiple Constructors In Python?,2022-07-10T04:03:49Z,7/10/2022,04:03:49Z,7012,278,28,Jul,KrishNaik
138,Announcing Job Guaranteed Full Stack Javascript Web Developer @HiteshChoudharydotcom |July 10th,2022-07-04T13:30:16Z,7/4/2022,13:30:16Z,7022,128,32,Jul,KrishNaik
139,600k Subscriber Live Celebration,2022-07-03T09:24:35Z,7/3/2022,09:24:35Z,7017,295,47,Jul,KrishNaik
140,Announcing Job Guaranteed Big Data Bootcamp @iNeuroniNtelligence @shashank_mishra,2022-07-02T10:14:36Z,7/2/2022,10:14:36Z,14008,310,130,Jul,KrishNaik
141,Day 9-Word Embedding Layer And LSTM Practical Implementation In NLP Application|Krish Naik,2022-07-01T14:20:04Z,7/1/2022,14:20:04Z,20375,625,32,Jul,KrishNaik
142,Day 8-LSTM Recurrent Neural Network In Depth Intuition And NLP Application|Krish Naik,2022-06-29T14:19:28Z,6/29/2022,14:19:28Z,13909,498,20,Jun,KrishNaik
143,Biggest Announcement In Techneuron OTT Platform @iNeuroniNtelligence,2022-06-29T11:30:30Z,6/29/2022,11:30:30Z,7547,243,75,Jun,KrishNaik
144,Day 7-BackPropogration In Recurrent Neural Network And NLP Application|Krish Naik,2022-06-28T14:37:56Z,6/28/2022,14:37:56Z,11584,462,12,Jun,KrishNaik
145,Day 6-Recurrent Neural Network Indepth Intuition And NLP Application|Krish Naik,2022-06-27T15:02:01Z,6/27/2022,15:02:01Z,15917,648,20,Jun,KrishNaik
146,AI/ML Live Hackathon @iNeuron,2022-06-25T13:40:10Z,6/25/2022,13:40:10Z,49390,949,38,Jun,KrishNaik
147,Pro Tips For Data Science Interviews- Part 1,2022-06-24T12:34:49Z,6/24/2022,12:34:49Z,6821,389,21,Jun,KrishNaik
148,Day 5-Training Word2Vec From Scratch And AvgWord2vec Indepth Inutuition|Krish Naik,2022-06-22T14:38:53Z,6/22/2022,14:38:53Z,19834,573,25,Jun,KrishNaik
149,Hackathon 3.0 In Collaboration With Mu Sigma,2022-06-22T04:59:07Z,6/22/2022,04:59:07Z,4721,160,33,Jun,KrishNaik
150,"Live Day 4-Word Embedding, CBOW And Skipgram Word2vec NLP And Quiz-5000Inr Give Away",2022-06-20T15:02:39Z,6/20/2022,15:02:39Z,36079,849,26,Jun,KrishNaik
151,Complete Statistics For Data Science In 6 hours By Krish Naik,2022-06-19T04:28:36Z,6/19/2022,04:28:36Z,180944,4343,141,Jun,KrishNaik
152,Live Full Stack Data Analytics With Job Assistance Batch Live Induction,2022-06-18T16:36:19Z,6/18/2022,16:36:19Z,9130,232,15,Jun,KrishNaik
153,Live Day 3- TF-IDF With Practical Application NLP And Quiz-5000Inr Give Away,2022-06-17T14:45:19Z,6/17/2022,14:45:19Z,23529,962,24,Jun,KrishNaik
154,Upcoming Affordable Tech Courses From @iNeuroniNtelligence,2022-06-16T07:15:56Z,6/16/2022,07:15:56Z,7351,218,103,Jun,KrishNaik
155,"Live Day 2- Bag Of Words, TF-IDF, Word2Vec NLP And Quiz-5000Inr Give Away",2022-06-15T15:36:16Z,6/15/2022,15:36:16Z,38423,1379,40,Jun,KrishNaik
156,Hackathon In Collaboration With Jetbrains,2022-06-15T03:40:27Z,6/15/2022,03:40:27Z,4920,127,16,Jun,KrishNaik
157,Live Day 1- Introduction And Roadmap To Natural Language Processing And Quiz-5000Inr Give Away,2022-06-14T14:56:17Z,6/14/2022,14:56:17Z,84022,2927,55,Jun,KrishNaik
158,Prerequisites For NLP Live Community Session For ML And DL,2022-06-13T10:47:40Z,6/13/2022,10:47:40Z,14413,535,20,Jun,KrishNaik
159,Github Hackathon Ending Moments,2022-06-12T06:41:19Z,6/12/2022,06:41:19Z,6502,220,8,Jun,KrishNaik
160,Hackathon Live At iNeuron,2022-06-11T13:35:03Z,6/11/2022,13:35:03Z,10210,370,7,Jun,KrishNaik
161,Announcing NLP Live community Sessions,2022-06-10T14:18:26Z,6/10/2022,14:18:26Z,30854,633,65,Jun,KrishNaik
162,Podcast With Shishir Chandra On System Design at MAANG,2022-06-08T12:10:03Z,6/8/2022,12:10:03Z,4154,95,10,Jun,KrishNaik
163,How To Be Consistent While Learning  Data Science?,2022-06-06T11:44:01Z,6/6/2022,11:44:01Z,13758,711,31,Jun,KrishNaik
164,Importance Of Cybersecurity For Data Scientist,2022-06-05T11:42:25Z,6/5/2022,11:42:25Z,13013,485,30,Jun,KrishNaik
165,Complete Exploratory Data Analysis And Feature Engineering In 3 Hours| Krish Naik,2022-06-04T12:28:00Z,6/4/2022,12:28:00Z,76486,2190,70,Jun,KrishNaik
166,Automate Financial Data Analysis Using Mito,2022-06-03T10:55:33Z,6/3/2022,10:55:33Z,5353,204,29,Jun,KrishNaik
167,Life At IIt's| AI @ IIT Hyderabad| Podcast With Priya Bhatia,2022-06-02T13:53:44Z,6/2/2022,13:53:44Z,11073,281,22,Jun,KrishNaik
168,"Announcing Data Science, ML,DL,AI Videos In Hindi @krishnaikhindi",2022-06-01T11:21:19Z,6/1/2022,11:21:19Z,8551,380,37,Jun,KrishNaik
169,@iNeuroniNtelligence First Offline 24 hrs Hackathon With Github Community Partner,2022-05-31T11:50:41Z,5/31/2022,11:50:41Z,7573,212,25,May,KrishNaik
170,Big Data Engineering RoadMap And FAANG Interview Process,2022-05-30T12:19:39Z,5/30/2022,12:19:39Z,27461,913,49,May,KrishNaik
171,Live Data Science Quiz With @Telusko,2022-05-29T13:08:51Z,5/29/2022,13:08:51Z,11527,371,29,May,KrishNaik
172,Complete Machine Learning In 6 Hours| Krish Naik,2022-05-28T04:37:31Z,5/28/2022,04:37:31Z,243160,5794,157,May,KrishNaik
173,Why the Journey Matters More Than Your Goal|Motivation,2022-05-26T14:18:17Z,5/26/2022,14:18:17Z,6397,404,29,May,KrishNaik
174,Surprise Conversation With FSDS Batch Student|Sucessful Career Transition|Episode 2,2022-05-25T11:17:04Z,5/25/2022,11:17:04Z,4012,144,17,May,KrishNaik
